names,f1,precision,recall,area_ratio,image_confidence,avg obj conf,avg obj size,stdev obj conf,stdev obj size,avg pred shape,stdev pred shape,range pred shape,counts,swell,swell_frac,num_0.1,num_0.2,num_0.3,num_0.4,num_0.5,num_0.6,num_0.7,num_0.8,num_0.9,label
100dpa Voids2 over 512.png,0.131805158,0.71875,0.072555205,0.016306468,0.812107853,0.787615221,0.000509577,0.314313209,0.000142317,1.014931779,0.004761484,0.024956612,32,-0.08539527,-73.11389314,3,3,1,0,0,1,2,3,19,A:  over_over
5-3 1um.png,0.111111111,0.285714286,0.068965517,0.004332448,0.846141931,0.768512343,0.000618921,0.311863758,0.000519575,1.086184696,0.166781837,0.487325184,7,-0.025773314,-77.27789688,0,1,1,0,0,0,0,1,4,A:  over_over
5-4 2um.png,0.142857143,0.333333333,0.090909091,0.001965097,0.723093303,0.717028623,0.000655032,0.396757115,0.000365803,1.013821973,0.004920624,0.011347931,3,-0.014263386,-82.41407266,1,0,0,0,0,0,0,0,2,A:  over_over
CTEM 150kx c1 a0b0 _0006.png,0.528735632,0.884615385,0.37704918,0.019363445,0.944297223,0.928361097,0.000744748,0.200101098,0.000372689,1.011167489,0.004588384,0.016953609,26,-0.089071161,-49.22482021,1,0,0,1,0,1,0,0,23,A:  over_over
CTEM 150kx c1 a0b0 _0014.png,0.344827586,0.588235294,0.243902439,0.013002109,0.862669503,0.894820135,0.00076483,0.240724438,0.000280758,1.013569901,0.00566566,0.019512005,17,-0.068924705,-52.82418743,1,0,0,1,0,0,1,0,14,A:  over_over
CTEM 150kx c1 a0b0 _0024.png,0.684210526,0.928571429,0.541666667,0.032095178,0.908616679,0.913992247,0.000764171,0.22717548,0.000424866,1.009984105,0.003939004,0.015457343,42,-0.09264152,-36.37006294,1,2,1,0,0,1,0,1,36,A:  over_over
CTEM 150kx c1 a0b0 _0034.png,0.756302521,0.833333333,0.692307692,0.048760285,0.946609767,0.927969688,0.000902968,0.214780043,0.00055488,1.012347987,0.011376166,0.069351189,54,-0.156750452,-36.9465346,1,2,2,0,0,0,0,1,48,A:  over_over
CTEM 150kx c1 a0b0 _0044.png,0.819047619,0.811320755,0.826923077,0.085641914,0.997107147,0.988576279,0.001615885,0.074700372,0.001116169,1.024768459,0.057417536,0.28836415,53,0.008638875,1.286842767,0,0,0,1,0,0,0,0,52,A:  over_over
CTEM 150kx c1 a0b0 _0062.png,0.794871795,0.794871795,0.794871795,0.03800125,0.972525826,0.930925402,0.000974391,0.162112178,0.00070986,1.016039652,0.020516287,0.128840588,39,-0.046835352,-17.13345715,0,1,0,0,1,1,2,3,31,A:  over_over
CTEM BF 150 kx area2 a0b0_0021.png,0.592592593,0.615384615,0.571428571,0.015418536,0.977316714,0.950532501,0.001186041,0.16563511,0.00057069,1.00824735,0.003423055,0.0114263,13,-0.02448916,-20.42185586,0,0,1,0,0,0,0,0,12,A:  over_over
HT9 33dpa 360C_0023.png,0.542056075,0.852941176,0.397260274,0.055787759,0.982255409,0.919616144,0.001640816,0.210414234,0.001850354,1.02582813,0.070556198,0.337193607,34,-0.109221337,-31.49035774,1,0,2,0,0,0,1,1,29,A:  over_over
1 200K -1um.png,0.628571429,0.733333333,0.55,0.019066034,0.976183856,0.94645884,0.001271069,0.183431081,0.001338296,1.015751371,0.017536822,0.073163777,15,-0.005813526,-9.232346883,0,1,0,0,0,0,0,0,14,A:  over_under
1 39K.png,0.850393701,0.964285714,0.76056338,0.024447422,0.988757413,0.977257753,0.000436561,0.12260577,0.000226377,1.021943495,0.017598723,0.104440534,56,0.044047642,39.82417961,1,0,0,0,0,1,0,0,54,A:  over_under
10 115K.png,0.56,0.848484848,0.417910448,0.016299703,0.928064291,0.902102739,0.00049393,0.188797136,0.000521361,1.025400788,0.014580836,0.087363574,33,-0.034255526,-42.72756816,0,0,1,3,0,0,2,1,26,A:  over_under
10 200K -1um.png,0.558139535,0.571428571,0.545454545,0.013604348,0.889712688,0.852627695,0.000647826,0.301305171,0.000300343,1.016700096,0.027543438,0.132543967,21,-0.027816283,-56.54916372,2,1,1,0,0,0,0,0,17,A:  over_under
10 78K.png,0.591549296,0.777777778,0.477272727,0.012131101,0.973515386,0.958348089,0.0004493,0.135150682,0.000294866,1.036100243,0.041728503,0.203766102,27,-0.014406221,-25.04588972,0,1,0,0,0,0,0,1,25,A:  over_under
10_115K.png,0.765217391,0.916666667,0.656716418,0.064326179,0.98491357,0.955631748,0.001340129,0.156667496,0.000957686,1.018698694,0.025716126,0.149988196,48,-0.107084748,-28.0994882,1,0,0,1,0,1,0,1,44,A:  over_under
10_78K.png,0.853658537,0.886075949,0.823529412,0.063910032,0.97354295,0.944948097,0.000808988,0.180771759,0.000437988,1.016440426,0.014312424,0.10672602,79,-0.056973733,-16.19642754,2,1,0,1,2,0,1,1,71,A:  over_under
16 BF 2 defocus 323.03nm.png,0.872340426,0.921348315,0.828282828,0.113776032,0.992276612,0.978371349,0.001278382,0.110056133,0.00086268,1.01404916,0.014931925,0.133030473,89,0.194813691,50.79232765,0,1,0,1,0,1,0,0,86,A:  over_under
3 115K.png,0.666666667,0.846153846,0.55,0.033659714,0.949448798,0.836624118,0.001294604,0.277171441,0.001621779,1.02074963,0.013104214,0.053955794,26,-0.031103182,-14.20718975,2,1,1,0,0,2,1,1,18,A:  over_under
3 200K -1um.png,0.52,0.8125,0.382352941,0.043423221,0.974395947,0.83411123,0.002713951,0.28165081,0.004754905,1.01596754,0.015808212,0.061503338,16,-0.071292347,-21.89357753,0,1,2,1,0,0,0,0,12,A:  over_under
3 59K.png,0.87804878,0.818181818,0.947368421,0.03177701,0.968256254,0.96085774,0.000722205,0.174459804,0.000448825,1.018211654,0.018724269,0.125437712,44,0.006274499,3.511596128,2,0,0,0,0,0,0,0,42,A:  over_under
3-1 31K x-297.95 y64.08.png,0.860068259,0.919708029,0.807692308,0.069243695,0.979954163,0.97622966,0.000505428,0.09898411,0.000695231,1.02166357,0.019109098,0.143149465,137,0.285300813,57.55834168,0,1,1,0,0,0,4,3,128,A:  over_under
3-1 39K.png,0.626086957,0.818181818,0.507042254,0.052802606,0.947990778,0.962908701,0.001200059,0.127857611,0.001954287,1.020243536,0.019211542,0.105868899,44,0.437767719,101.923748,0,1,0,0,0,0,2,1,40,A:  over_under
3-1 59K defocus -1um.png,0.936170213,0.988764045,0.888888889,0.105019744,0.989454761,0.97005782,0.001179997,0.119736244,0.000763887,1.015706054,0.016686134,0.133608535,89,0.025528632,3.285583395,1,0,0,0,1,2,1,2,82,A:  over_under
3-1 93K -1um.png,0.705882353,0.75,0.666666667,0.036085702,0.97018005,0.894273862,0.001127678,0.241514666,0.001070696,1.020230862,0.021713456,0.116170869,32,-0.060301266,-23.99164223,1,2,0,0,1,0,1,1,26,A:  over_under
3-1 defocus -1um_2.png,0.541666667,0.8125,0.40625,0.031766054,0.981139015,0.931713019,0.001985378,0.216322133,0.002396962,1.015798828,0.009345188,0.030068858,16,-0.06342094,-28.73223026,1,0,0,0,0,0,0,1,14,A:  over_under
